date,cs_pace_med,cs_pace_lo50,cs_pace_hi50,cs_pace_lo95,cs_pace_hi95,cs_mps_med,cs_pace_trend_med,cs_pace_trend_lo95,cs_pace_trend_hi95,dp_med,dp_lo50,dp_hi50,dp_lo95,dp_hi95
2008-04-26,9.25497026318579,9.098790334738476,9.408415762803084,8.806113879138751,9.718277442951486,2.8981616620308728,9.172582924568454,8.467101658079764,9.933631119590991,167.07975091607074,158.2945206165674,176.16688099443755,133.68222105575057,210.32037297579248
2008-05-03,9.24872297585587,9.09648181687519,9.393939366886869,8.81336820249018,9.695424971745654,2.900119299739478,9.172146587214087,8.471798614557533,9.929327205569265,167.06704009467444,158.28061536627862,176.17615606773586,133.90223715880992,210.29880993464704
2008-05-10,9.236059860269368,9.094598165209655,9.380435334806478,8.820439518611233,9.675408056716229,2.9040955133723836,9.172917327750277,8.479239826639132,9.91295684530625,167.08057824845002,158.14374276997574,176.1878327663711,133.9696857759466,210.77633393130628
2008-05-17,9.227233927491968,9.086349787763012,9.36935514898056,8.82056194632491,9.653082980030623,2.9068733069554806,9.172463321324031,8.48511499912159,9.899988919760078,167.09267786020092,158.1267980205049,176.16071621030767,134.32704236714468,210.92864359006438
2008-05-24,9.219826102477558,9.080764262477594,9.35675751823403,8.820541159882543,9.635770532891701,2.9092088835109555,9.171088162145448,8.491633976870416,9.88922100999565,167.17108944817204,158.16825983037688,176.21843788473694,134.26815440612413,211.23001220550628
2008-05-31,9.21248598964738,9.071485770344937,9.347460956082475,8.82024226427384,9.617287336889188,2.911526816068468,9.169712755355295,8.496916390498363,9.885771806843703,167.20791308161552,158.15315544055744,176.14018958092288,134.05877313553842,210.50344388420712
2008-06-07,9.20174995246655,9.060346530197045,9.340262128209995,8.811299901168665,9.609791824104533,2.914923806899009,9.168403519294493,8.502421549684321,9.87256166202815,167.25467529463927,158.20532242455158,176.13705574151507,134.3590070638704,210.814082155577
2008-06-14,9.194699347214264,9.051827869950394,9.33315196797102,8.804032854607176,9.600675358084143,2.917159005116294,9.166375526510325,8.50932982298963,9.870022878856771,167.1901924978856,158.17665389048022,176.22510757049648,134.7606045172654,211.2148071041402
2008-06-21,9.183831745147124,9.042828875555626,9.326670858571159,8.794759000135068,9.594362603698903,2.920610998362383,9.166114558325187,8.514919507150754,9.863473721279828,167.16825525814932,158.30733550347097,176.317266155842,134.89952565279552,211.88834410767757
2008-06-28,9.17555610318005,9.031302926820722,9.321304314667637,8.774975968884355,9.588984015618573,2.923245163478231,9.165263597899429,8.519806904285156,9.855141213237154,167.19840996341026,158.27691416331226,176.2607717350719,135.30429776819327,211.78099995089303
2008-07-05,9.166535298533532,9.01937593206673,9.313345806737566,8.757633906294569,9.588375876290835,2.9261219351148817,9.164188416999888,8.521476080631334,9.847524024897337,167.16072163198993,158.3594090648871,176.29592765028363,135.47294347863834,212.18910507684473
2008-07-12,9.158410392760043,9.008222785221708,9.307833538614304,8.7403258388405,9.589173279966591,2.928717850566296,9.161965544299184,8.530251443143815,9.840406379493189,167.13366371106852,158.4509502218363,176.38082634166153,135.44849144798405,212.3417233335493
2008-07-19,9.15008163023825,8.994747867601664,9.301466226120025,8.716317517834995,9.593887324034805,2.931383684211859,9.15932143500866,8.535767213485196,9.827720665319362,167.17903479899462,158.43435216040223,176.3834174669675,135.44245557132044,212.03224957999203
2008-07-26,9.141288897040285,8.978796414235353,9.293626880778458,8.695427078794523,9.599136906404441,2.9342032948308763,9.158149182783685,8.538025694770559,9.82082828786365,167.14051169129502,158.42399938977724,176.3669822115501,135.77950783340196,212.62802827311492
2008-08-02,9.130191710431218,8.963926325252267,9.28592969469704,8.671408901358467,9.599861340815622,2.937769638475321,9.15761874845983,8.540910928017672,9.816627610007265,167.15699535662253,158.42907506342954,176.3888570206065,135.7596097450024,212.92367032255143
2008-08-09,9.119857325629102,8.946798410163282,9.279834302176372,8.646729097474662,9.602162514716989,2.941098643315496,9.156741054312334,8.54372988639519,9.802691371331283,167.15802086400382,158.382193071465,176.49283888257105,135.75831100864823,213.1894081034336
2008-08-16,9.110596486266168,8.934358581180568,9.27664134922108,8.618327778529261,9.611960564760869,2.9440882428008166,9.155872010193972,8.542093832971421,9.797769352866755,167.15602929282272,158.41158719786992,176.56249987738428,135.64858630442671,212.98612379725552
2008-08-23,9.100339117348156,8.921099481327037,9.270185121249636,8.593234800333065,9.614084556510246,2.9474066465836173,9.152761508353692,8.549246178866643,9.787287174064016,167.12346437357866,158.4298650939653,176.54449491621193,135.97081491554613,213.99965833043674
2008-08-30,9.090822794763254,8.906820086963622,9.26604174261756,8.5758366361679,9.6163666437509,2.9504920100336056,9.150988610851694,8.555521837984518,9.783834293124428,167.0917063186314,158.40092154876757,176.58956559610252,135.79668046453924,213.78200864935042
2008-09-06,9.079276024742708,8.88869885013218,9.260188391731496,8.549485865050464,9.619261622721421,2.954244361213922,9.14893136039495,8.555448046129747,9.77990105448415,167.1797223302616,158.35615286296056,176.47463919814564,135.8389610316757,213.71107780115938
2008-09-13,9.068307099593504,8.873176565721502,9.2525647786596,8.51976285693935,9.621761572871359,2.9578177830251438,9.146719657282373,8.558132103047082,9.773497122760027,167.2467819941652,158.36167152403294,176.41302945397575,135.94552129302906,213.36668900066354
2008-09-20,9.058550190255456,8.855155902617177,9.244283243252823,8.49060556119753,9.621361670553798,2.9610036304703637,9.145956379769423,8.560039384784735,9.763193857442978,167.19823983969195,158.36488467066624,176.35566009593953,135.81291511540425,213.66954767796102
2008-09-27,9.045226336813613,8.837164636824848,9.238281465038444,8.460371241888748,9.618925660518636,2.965365266481048,9.14374939099785,8.56393821120755,9.763236033619023,167.22461647960904,158.35466362809672,176.28637019519962,135.58094582697672,213.65492718581842
